#Parameters = {FSS=70; FSSX=1; FSSY=-1; MT=0.018; T=0.13; epsilon=8.897084845; g=-10; gl=15; gw=26; hg=18; hgl=-3; hgnd1up=0; hgw=0.5; hgx1=15; hgy1=10; hsll=1.5; hslw=14.5; n=2; phanup=50; phanx=0; phany=0; pl=26; plusex=0; plusey=0; plusl=6.5; plusw=2.5; plusx=4; plusy=4; pw=23; r=17.35655495771; sl=24; sll=-10; sll1=-16; slot1side=0; slot1up=-1; slot2side=0; slot2up=-8; slw=0.5; slw1=0.5; stripl=19; stripw=1.5; stubl=2; stubw=0.5; stubx=-2.5; stw=0.5; stw1=0; sty=1; sw=30; tand=0.521143134; x=17}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
2.5680000782013	-11.584399610190
2.5720000267029	-11.569008386755
2.5759999752045	-11.552809958714
2.5799999237061	-11.537580041601
2.5840001106262	-11.524895251408
2.5880000591278	-11.516069071470
2.5920000076294	-11.512124638316
2.5959999561310	-11.513777355930
2.5999999046326	-11.521442543427
2.6040000915527	-11.535256448448
2.6080000400543	-11.555107400287
2.6119999885559	-11.580680694866
2.6159999370575	-11.611512305008
2.6199998855591	-11.647045946633
2.6240000724792	-11.686693885900
2.6280000209808	-11.729900408097
2.6319999694824	-11.776198940548
2.6359999179840	-11.825262248512
2.6400001049042	-11.876941895029
2.6440000534058	-11.931296907958
2.6480000019073	-11.988606212423
2.6519999504089	-12.049358748653
2.6559998989105	-12.114247901067
2.6600000858307	-12.184132091046
2.6640000343323	-12.260006137971
2.6679999828339	-12.342957799168
2.6719999313354	-12.434127460933
2.6760001182556	-12.534668438470
2.6800000667572	-12.645719289468
2.6840000152588	-12.768368507530
2.6879999637604	-12.903644920314
2.6919999122620	-13.052496598937
2.6960000991821	-13.215797834517
2.7000000476837	-13.394348834425
2.7039999961853	-13.588887947113
2.7079999446869	-13.800114916014
2.7119998931885	-14.028714229354
2.7160000801086	-14.275386766102
2.7200000286102	-14.540885318767
2.7239999771118	-14.826055758845
2.7279999256134	-15.131871423902
2.7320001125336	-15.459475207581
2.7360000610352	-15.810220198833
2.7400000095367	-16.185681850177
2.7439999580383	-16.587692464035
2.7479999065399	-17.018323297276
2.7520000934601	-17.479856531438
2.7560000419617	-17.974710477632
2.7599999904633	-18.505261916903
2.7639999389648	-19.073580175355
2.7679998874664	-19.680929106047
2.7720000743866	-20.326916843592
2.7760000228882	-21.008120900788
2.7799999713898	-21.715856204225
2.7839999198914	-22.432850842125
2.7880001068115	-23.128843601661
2.7920000553131	-23.756481751352
2.7960000038147	-24.251282034678
2.7999999523163	-24.541977864257
2.8039999008179	-24.574014505274
2.8080000877380	-24.335147674219
2.8120000362396	-23.861934836438
2.8159999847412	-23.220766173302
2.8199999332428	-22.481004772514
2.8239998817444	-21.698151386019
2.8280000686646	-20.909772544297
2.8320000171661	-20.138408010885
2.8359999656677	-19.396118090509
2.8399999141693	-18.688359455056
2.8440001010895	-18.016703031926
2.8480000495911	-17.380585217092
2.8519999980927	-16.778349362899
2.8559999465942	-16.207870516813
2.8599998950958	-15.666908137874
2.8640000820160	-15.153295451554
2.8680000305176	-14.665033384376
2.8719999790192	-14.200322479947
2.8759999275208	-13.757571412626
2.8800001144409	-13.335372713497
2.8840000629425	-12.932482439273
2.8880000114441	-12.547785975752
2.8919999599457	-12.180269889735
2.8959999084473	-11.828996970128
2.9000000953674	-11.493081082164
2.9040000438690	-11.171671707803
2.9079999923706	-10.863943802466
2.9119999408722	-10.569094713716
2.9159998893738	-10.286333144332
2.9200000762939	-10.014892563861
2.9240000247955	-9.7540285040718
2.9279999732971	-9.5030267517376
2.9319999217987	-9.2612176158620
2.9360001087189	-9.0279770541148
2.9400000572205	-8.8027324990368
