FREQ,S11
9.390000343,-2.099887448
9.404999733,-2.103488997
9.420000076,-2.1077308
9.43500042,-2.112519604
9.449999809,-2.117718602
9.465000153,-2.123163583
9.479999542,-2.128660961
9.494999886,-2.134009007
9.510000229,-2.138994066
9.524999619,-2.143410391
9.539999962,-2.147069811
9.555000305,-2.149810124
9.569999695,-2.151504163
9.585000038,-2.152062802
9.600000381,-2.151447
9.614999771,-2.149664871
9.630000114,-2.146771482
9.645000458,-2.142867899
9.659999847,-2.138095141
9.675000191,-2.132630984
9.68999958,-2.126673712
9.704999924,-2.120435153
9.720000267,-2.114134606
9.734999657,-2.107983818
9.75,-2.102176569
9.765000343,-2.096882299
9.779999733,-2.09223317
9.795000076,-2.088326624
9.81000042,-2.085209737
9.824999809,-2.082890264
9.840000153,-2.081324212
9.854999542,-2.080429279
9.869999886,-2.080077281
9.885000229,-2.080118228
9.899999619,-2.080365994
9.914999962,-2.08062838
9.930000305,-2.080702105
9.944999695,-2.080393048
9.960000038,-2.079521437
9.975000381,-2.077930309
9.989999771,-2.075501061
10.00500011,-2.072151887
10.02000046,-2.067845835
10.03499985,-2.062593384
10.05000019,-2.056455045
10.06499958,-2.049530608
10.07999992,-2.041963836
10.09500027,-2.033928187
10.10999966,-2.025624502
10.125,-2.017263022
10.14000034,-2.009064901
10.15499973,-2.001241745
10.17000008,-1.993985287
10.18500042,-1.987469382
10.19999981,-1.981830713
10.21500015,-1.977167314
10.22999954,-1.973535899
10.24499989,-1.970946936
10.26000023,-1.969367358
10.27499962,-1.96871669
10.28999996,-1.968882041
10.30500031,-1.969713049
10.31999969,-1.971035199
10.33500004,-1.972659258
10.35000038,-1.974388011
10.36499977,-1.976026562
10.38000011,-1.977392887
10.39500046,-1.978333338
10.40999985,-1.978716654
10.42500019,-1.978456774
10.43999958,-1.977505905
10.45499992,-1.975864898
10.47000027,-1.973574904
10.48499966,-1.970726145
10.5,-1.967445845
10.51500034,-1.963892718
10.52999973,-1.960252352
10.54500008,-1.956723132
10.56000042,-1.953510205
10.57499981,-1.950813775
10.59000015,-1.948817735
10.60499954,-1.947686793
10.61999989,-1.947546522
10.63500023,-1.94849159
10.64999962,-1.950569607
10.66499996,-1.953784741
10.68000031,-1.958095436
10.69499969,-1.963417338
