,BGL,FREQ,S11,S11_Scaled,S11_Derivative,S11_Mean,S11_Std,S11_Min,S11_Max
109,100,1.649999976,-3.030307263,0.9455137392254653,-8.575670603959306,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10112,100,1.6574999689999999,-3.095349562,0.9439801376613789,-8.6239926157265,,,,
110,100,1.664999962,-3.160391861,0.9424465360972926,-8.672314627493597,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10113,100,1.6724999550000001,-3.2261477525,0.9408961090736061,-8.719887505228177,,,,
111,100,1.679999948,-3.291903644,0.9393456820499196,-8.767460382962987,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10114,100,1.6875,-3.3583730245,0.9377784320070106,-8.814991688358349,,,,
112,100,1.695000052,-3.424842405,0.9362111819641016,-8.862522619843269,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10115,100,1.7025000449999999,-3.4920361045000003,0.934626853546529,-8.910845267464303,,,,
113,100,1.710000038,-3.559229804,0.9330425251289565,-8.959168295223694,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10116,100,1.7175000310000001,-3.6271695565,0.9314406058810276,-9.008905208311337,,,,
114,100,1.725000024,-3.695109309,0.9298386866330988,-9.058642121399245,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10117,100,1.732500017,-3.763825474,0.9282184607225414,-9.110403003042872,,,,
115,100,1.74000001,-3.832541639,0.9265982348119841,-9.162163884686395,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10118,100,1.7475000024999998,-3.902075027,0.9249587399873467,-9.216645776091037,,,,
116,100,1.754999995,-3.971608415,0.9233192451627091,-9.271127671127672,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10119,100,1.762499988,-4.0420083745,0.9216593178590814,-9.328898851268727,,,,
117,100,1.769999981,-4.112408334,0.9199993905554537,-9.386670027558674,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10120,100,1.777499974,-4.1837315425,0.9183176944009057,-9.448220018338802,,,,
118,100,1.784999967,-4.255054751,0.9166359982463578,-9.509770009118622,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10121,100,1.7924999595000002,-4.3273666955,0.9149309891539312,-9.575686123163086,,,,
119,100,1.799999952,-4.39967864,0.9132259800615047,-9.641602241602246,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10122,100,1.8075000045,-4.473053087,0.9114959187258318,-9.712396962809205,,,,
120,100,1.815000057,-4.546427534,0.9097658573901589,-9.783191117662216,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10123,100,1.82250005,-4.6209432515,0.9080088865778724,-9.859314393413058,,,,
121,100,1.830000043,-4.695458969,0.9062519157655857,-9.935438273075636,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10124,100,1.837500036,-4.771203252499999,0.904465977177434,-10.017342749519814,,,,
122,100,1.845000029,-4.846947536,0.9026800385892823,-10.099247225964199,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10125,100,1.8525000215,-4.9240126505,0.9008629567525271,-10.187303047726289,,,,
123,100,1.860000014,-5.001077765,0.899045874915772,-10.275358875358862,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10126,100,1.8675000069999999,-5.079563723,0.8971952916830419,-10.370081524412255,,,,
124,100,1.875,-5.158049681,0.8953447084503119,-10.464804167150492,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10127,100,1.8824999930000001,-5.2380596345,0.8934581916494515,-10.566403961976834,,,,
125,100,1.889999986,-5.318069588,0.8915716748485912,-10.66800375680349,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10128,100,1.8974999785,-5.399713762,0.8896466255365283,-10.776952251053997,,,,
