FREQ,S11
9.090000153,-1.991983295
9.104999542,-1.997335267
9.119999886,-2.001723175
9.135000229,-2.00515827
9.149999619,-2.007697858
9.164999962,-2.009439468
9.180000305,-2.010517014
9.194999695,-2.011089785
9.210000038,-2.011338566
9.225000381,-2.011456161
9.239999771,-2.011631837
9.255000114,-2.012048064
9.270000458,-2.012869271
9.284999847,-2.014233096
9.300000191,-2.016240387
9.31499958,-2.018955711
9.329999924,-2.022400576
9.345000267,-2.026554486
9.359999657,-2.031352641
9.375,-2.036693421
9.390000343,-2.042437749
9.404999733,-2.048421191
9.420000076,-2.054459776
9.43500042,-2.060357516
9.449999809,-2.065918837
9.465000153,-2.070959896
9.479999542,-2.075309774
9.494999886,-2.078831873
9.510000229,-2.081420032
9.524999619,-2.083010588
9.539999962,-2.083584659
9.555000305,-2.083164801
9.569999695,-2.081823652
9.585000038,-2.079666285
9.600000381,-2.076838632
9.614999771,-2.073512559
9.630000114,-2.069875237
9.645000458,-2.066128373
9.659999847,-2.062467692
9.675000191,-2.059081709
9.68999958,-2.056134751
9.704999924,-2.053767982
9.720000267,-2.052083198
9.734999657,-2.051145139
9.75,-2.050975154
9.765000343,-2.051549301
9.779999733,-2.052805555
9.795000076,-2.054638759
9.81000042,-2.05691257
9.824999809,-2.05946117
9.840000153,-2.06210591
9.854999542,-2.064652441
9.869999886,-2.066911259
9.885000229,-2.068698774
9.899999619,-2.069857533
9.914999962,-2.070251646
9.930000305,-2.069787581
9.944999695,-2.068407054
9.960000038,-2.066097335
9.975000381,-2.062889941
9.989999771,-2.058861031
10.00500011,-2.054126398
10.02000046,-2.048834139
10.03499985,-2.043159775
10.05000019,-2.037295684
10.06499958,-2.031441637
10.07999992,-2.025795529
10.09500027,-2.020544203
10.10999966,-2.015853293
10.125,-2.011860489
10.14000034,-2.00866698
10.15499973,-2.006333983
10.17000008,-2.004881883
10.18500042,-2.004290047
10.19999981,-2.004490807
10.21500015,-2.00538301
10.22999954,-2.006830442
10.24499989,-2.008673465
10.26000023,-2.010733058
10.27499962,-2.012820334
10.28999996,-2.014751904
10.30500031,-2.016351337
10.31999969,-2.017464751
10.33500004,-2.017966451
10.35000038,-2.017764609
10.36499977,-2.016811183
10.38000011,-2.015095743
10.39500046,-2.012659295
10.40999985,-2.009579226
10.42500019,-2.005973589
10.43999958,-2.001994017
